Track Name,Artist Name,Artist Popularity,Album Release Date,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Track Duration (s)
Faded,Alan Walker,81,2015-04-12,4,0.589,0.651,6,-5.097,1,0.0306,0.0291,3.2e-06,0.111,0.166,90.011,4,213.0
7 Years,Lukas Graham,70,2015-06-16,54,0.742,0.479,10,-5.83,1,0.0551,0.29,0.0,0.391,0.346,119.951,4,237.0
Pumped Up Kicks,Foster The People,71,2012-01-01,0,0.727,0.731,10,-5.359,0,0.0294,0.132,0.139,0.157,0.964,127.98,4,233.0
Fireflies,Owl City,68,2009-01-01,81,0.512,0.662,3,-6.797,1,0.0439,0.0275,0.0,0.118,0.472,180.114,4,228.0
One More Night,Maroon 5,85,2012-01-01,79,0.716,0.821,5,-3.435,0,0.0314,0.0558,0.0,0.0844,0.618,92.997,4,220.0
Somebody Else,The 1975,78,2016-02-26,77,0.618,0.793,0,-5.711,1,0.0601,0.204,0.0154,0.126,0.459,101.015,4,348.0
Thunder,Imagine Dragons,87,2017-06-23,89,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,4,187.0
Perfect,Ed Sheeran,90,2017-03-03,91,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,3,263.0
Bank Account,21 Savage,90,2017-09-23,6,0.884,0.347,8,-8.227,0,0.35,0.015,7e-06,0.0871,0.376,75.016,4,220.0
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,68,2011-06-14,59,0.646,0.795,9,-3.293,1,0.0976,0.0319,0.0,0.267,0.796,89.99,4,211.0
Circles,Post Malone,88,2019-06-09,89,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,4,215.0
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,88,2018-12-14,90,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,4,158.0
Happier,Marshmello,83,2018-08-17,85,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,4,214.0
Another One Bites The Dust - Remastered 2011,Queen,84,1980-06-27,84,0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967,4,215.0
Under Pressure - Remastered 2011,Queen,84,1982-03-05,83,0.671,0.712,2,-7.815,1,0.0476,0.429,0.0,0.103,0.462,113.805,4,248.0
We Will Rock You - Remastered 2011,Queen,84,1977-10-28,82,0.692,0.497,2,-7.316,1,0.119,0.676,0.0,0.259,0.475,81.308,4,122.0
Don't Stop Me Now - Remastered 2011,Queen,84,1978-10-11,85,0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,4,209.0
Killer Queen,Queen,84,2018-10-19,70,0.526,0.64,10,-6.374,1,0.0472,0.365,1.3e-06,0.0958,0.622,117.132,4,179.0
Little Dark Age,MGMT,73,2018-09-02,83,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,4,300.0
Mystery of Love,Sufjan Stevens,70,2017-03-11,70,0.365,0.273,4,-16.526,0,0.038,0.94,0.431,0.109,0.238,132.285,5,249.0
Raabta,Pritam,87,2012-02-24,79,0.657,0.581,0,-8.108,1,0.0298,0.699,1.82e-05,0.116,0.323,118.037,4,244.0
The Good Part,AJR,73,2017-06-30,66,0.287,0.473,5,-3.551,1,0.034,0.0858,4.4e-05,0.383,0.577,186.283,4,227.0
Spirits,The Strumbellas,55,2016-04-22,6,0.556,0.658,0,-6.075,1,0.0265,0.164,0.0,0.113,0.787,80.529,4,204.0
Kiss It Off Me,Cigarettes After Sex,80,2019-10-25,66,0.521,0.298,4,-12.474,1,0.026,0.754,0.46,0.11,0.232,80.388,4,270.0
Eenie Meenie,Sean Kingston,69,2010-03-23,78,0.72,0.607,1,-4.168,1,0.0322,0.0543,0.0,0.113,0.828,121.223,4,202.0
In This Shirt,The Irrepressibles,58,2010-01-10,76,0.293,0.394,9,-9.581,1,0.0299,0.691,0.382,0.157,0.0384,80.168,4,335.0
Can We Kiss Forever?,Kina,66,2018-08-31,78,0.522,0.128,4,-18.717,1,0.0357,0.894,0.026,0.0941,0.124,109.986,4,188.0
Saware,Pritam,87,2015-07-31,70,0.499,0.683,6,-6.373,0,0.0334,0.703,0.00161,0.0749,0.295,134.95,4,322.0
You're Somebody Else,flora cash,58,2018-06-19,74,0.713,0.452,1,-9.638,1,0.0295,0.841,0.0038,0.105,0.235,102.963,4,219.0
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,83,2018-05-25,85,0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,4,205.0
Stay with me soft bass boost - Remix,Lilorx,1,2021-07-20,0,0.768,0.757,8,-8.9,1,0.333,0.381,0.62,0.419,0.321,95.025,4,118.0
You Know How We Do It,Ice Cube,75,1993-07-12,82,0.747,0.52,10,-10.523,0,0.0357,0.0977,0.0537,0.142,0.601,92.869,4,233.0
Can You Feel My Heart,Bring Me The Horizon,78,2013-01-04,82,0.15,0.859,4,-2.827,0,0.0595,0.00201,0.194,0.387,0.354,170.527,5,228.0
Until I Found You,Stephen Sanchez,77,2021-01-09,87,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,3,178.0
From a Logical Point of View,Jensen Ackles,35,2022-08-07,39,0.801,0.343,7,-13.972,1,0.131,0.813,0.0,0.195,0.941,147.054,4,178.0
Ontario,Novo Amor,71,2017-10-11,73,0.409,0.223,10,-13.886,1,0.0296,0.947,0.0123,0.0635,0.173,89.877,4,193.0
I'm Never Enough,Ghostyboy,28,2021-09-13,47,0.324,0.479,2,-12.059,1,0.0357,0.638,0.00891,0.154,0.406,104.077,4,135.0
Nothing's Gonna Stop Us Now,Starship,65,1987-07-27,81,0.643,0.802,6,-4.92,1,0.0227,0.0299,0.0,0.0719,0.53,95.99,4,270.0
Bhober Pagol,Nigar Sumi,24,2022-04-05,0,0.544,0.894,2,-3.552,0,0.269,0.065,1.31e-06,0.0942,0.49,169.977,4,322.0
Beni Khuley,Muza,44,2022-07-21,56,0.511,0.566,8,-4.064,1,0.102,0.227,0.0,0.116,0.82,102.29,4,179.0
E Hawa,Meghdol,35,2022-07-19,50,0.271,0.192,8,-14.925,1,0.0342,0.815,0.0128,0.113,0.188,126.643,3,354.0
GFY,Dennis Lloyd,66,2019-05-04,59,0.634,0.676,10,-7.862,0,0.226,0.131,0.0,0.119,0.358,137.139,4,187.0
Plain Jane,A$AP Ferg,71,2017-08-18,77,0.797,0.844,11,-5.482,1,0.275,0.0651,0.0,0.087,0.52,170.142,4,174.0
Gul,Anuv Jain,66,2021-07-16,75,0.6,0.294,6,-12.301,1,0.0292,0.871,8.66e-05,0.102,0.342,86.97,4,217.0
HIGHEST IN THE ROOM,Travis Scott,89,2019-04-10,86,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4,176.0
As It Was,Harry Styles,88,2022-03-31,93,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4,167.0
After Hours,The Weeknd,95,2020-03-20,88,0.664,0.572,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959,4,361.0
Make You Mine,PUBLIC,58,2019-09-08,78,0.606,0.799,9,-4.452,1,0.0261,0.0128,0.0,0.15,0.638,103.014,4,233.0
Understand,BoyWithUke,74,2022-06-05,76,0.828,0.658,6,-6.19,0,0.14,0.81,1.06e-06,0.277,0.917,103.051,4,172.0
Every Breath You Take,The Police,75,1983-06-17,89,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4,254.0
Deadman's Gun,Ashtar Command,29,2010-05-18,0,0.497,0.232,0,-13.361,1,0.0284,0.891,0.15,0.133,0.104,138.024,4,255.0
I Really Want to Stay at Your House,Rosa Walton,58,2020-12-18,79,0.49,0.738,3,-7.399,0,0.0367,0.00237,4.58e-06,0.0851,0.126,124.966,4,247.0
Who's Ready for Tomorrow,RAT BOY,51,2020-12-18,71,0.751,0.74,9,-6.016,1,0.045,0.152,5.75e-05,0.0873,0.788,138.066,4,116.0
It Was A Good Day,Ice Cube,75,1992-11-17,86,0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,4,260.0
Tera Rastaa Chhodoon Na,Amitabh Bhattacharya,81,2013-03-07,67,0.419,0.679,4,-8.052,1,0.0384,0.493,0.00229,0.119,0.368,169.911,4,253.0
Ye Tune Kya Kiya,Pritam,87,2013-07-22,70,0.578,0.798,7,-6.01,1,0.0699,0.58,0.0,0.111,0.728,91.96,4,314.0
Alag Aasmaan,Anuv Jain,66,2020-07-31,73,0.699,0.299,6,-12.599,1,0.0403,0.869,0.0,0.0724,0.459,118.969,4,213.0
"Tose Naina (From ""Mickey Virus)",Arijit Singh,89,2016-11-02,67,0.523,0.561,4,-6.474,1,0.0329,0.426,0.0,0.109,0.31,139.885,4,264.0
Kasoor,Prateek Kuhad,60,2020-06-30,72,0.558,0.497,8,-7.175,1,0.0256,0.0285,5.36e-06,0.0799,0.444,107.047,4,198.0
Khaabon Ke Parinday,Alyssa Mendonsa,55,2011-06-06,67,0.517,0.565,9,-10.184,1,0.0441,0.721,0.00689,0.0997,0.69,169.952,4,252.0
Choo Lo,The Local Train,56,2015-09-25,72,0.512,0.695,4,-6.349,1,0.0271,0.0265,0.00815,0.146,0.351,145.957,4,234.0
"Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,71,2019-06-13,76,0.385,0.464,2,-6.975,1,0.0404,0.452,0.0,0.109,0.15,137.839,4,235.0
Safarnama,Lucky Ali,59,2015-10-16,64,0.541,0.512,9,-10.203,1,0.0291,0.74,0.000528,0.162,0.203,120.036,4,251.0
Kana Yaari,Kaifi Khalil,65,2022-01-20,65,0.841,0.536,10,-6.866,0,0.118,0.103,0.0,0.185,0.582,96.013,4,227.0
I'm On Fire,Bruce Springsteen,76,1984-04-06,79,0.62,0.446,1,-14.451,0,0.0347,0.589,0.0299,0.0727,0.868,88.591,4,156.0
HUMBLE.,Kendrick Lamar,89,2017-04-14,87,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,4,177.0
Panda,Desiigner,63,2016-06-26,72,0.576,0.766,10,-4.943,0,0.449,0.028,1.68e-06,0.366,0.236,144.833,4,247.0
Toosie Slide,Drake,95,2020-01-05,71,0.83,0.49,1,-8.82,0,0.209,0.289,3.04e-06,0.113,0.845,81.604,4,247.0
Astronaut In The Ocean,Masked Wolf,66,2021-10-09,72,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,4,133.0
After Dark x Sweater Weather,Ayumi,0,2022-07-10,3,0.483,0.628,8,-10.128,1,0.0645,0.0509,0.0133,0.107,0.0402,139.986,4,289.0
Konoha Peace,Kato,67,2020-11-12,52,0.71,0.464,2,-8.171,1,0.0316,0.345,0.915,0.163,0.436,124.061,4,101.0
Haule Haule,Sukhwinder Singh,68,2008-06-11,75,0.712,0.776,5,-7.424,0,0.213,0.541,2.17e-06,0.0896,0.96,89.934,4,264.0
Abar Elo Je Shondha,Lucky Akandh,5,1990-01-01,21,0.259,0.742,0,-5.011,1,0.0554,0.854,0.536,0.0978,0.632,174.819,4,240.0
Hadal Ahbek Slowed Reverb - Remix,Eduardo XD,41,2019-10-10,54,0.739,0.317,11,-11.39,1,0.0471,0.644,0.438,0.152,0.315,140.499,4,250.0
Ainsi bas la vida,Indila,68,2014-11-17,73,0.776,0.641,8,-6.925,1,0.0981,0.0486,5.77e-06,0.0977,0.437,128.05,4,215.0
Dream On,Aerosmith,76,1973-05-01,32,0.307,0.433,1,-10.057,1,0.029,0.388,9.08e-05,0.332,0.224,160.9,4,267.0
NEON BLADE,MoonDeity,69,2022-01-06,82,0.548,0.996,7,-2.169,1,0.112,0.0284,0.92,0.595,0.893,94.999,4,265.0
Another Love,Tom Odell,76,2013-06-24,93,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,4,244.0
Vtornik Money Rain (Slowed + Reberb),Zayan,8,2014-01-06,1,0.784,0.866,3,-5.431,0,0.202,0.641,0.805,0.141,0.524,152.843,4,202.0
Money Rain - Phonk Remix,VTORNIK,55,2021-06-14,75,0.936,0.791,6,-3.605,1,0.235,0.355,0.00628,0.168,0.746,102.02,4,151.0
Soco Soco Soco / Cada Hit na Favela É um Terremoto: Funk Tik Tok,MC Renatinho Falcão,55,2021-03-19,58,0.904,0.932,0,-3.445,1,0.0999,0.437,0.131,0.112,0.271,130.043,4,206.0
High Enough - Slowed,K.Flay,64,2021-11-18,62,0.388,0.631,4,-6.328,0,0.0391,0.00939,0.00474,0.372,0.276,112.033,3,201.0
Sing For The Moment,Eminem,90,2002-05-26,81,0.668,0.824,5,-4.164,0,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,4,340.0
Dekha Ek Khwab (Chill Mix),Kishore Kumar,72,2022-03-09,22,0.478,0.518,4,-7.932,1,0.117,0.855,0.0,0.237,0.451,146.891,3,159.0
Swing Lynn,Harmless,59,2012-08-14,77,0.464,0.945,2,-1.815,1,0.0401,0.0506,0.756,0.112,0.453,165.177,4,321.0
Bones,Imagine Dragons,87,2022-11-03,87,0.773,0.742,5,-3.678,0,0.046,0.0206,0.0,0.0754,0.571,114.071,4,165.0
Way for me,Underdog,50,2022-12-16,25,0.463,0.599,2,-12.392,0,0.0399,0.0099,0.0,0.225,0.512,101.848,4,182.0
The Way (Instrumental),Zack Hemsey,49,2011-03-10,51,0.306,0.39,5,-12.084,0,0.041,0.0195,0.857,0.087,0.0693,123.843,4,425.0
Heat Waves,Glass Animals,76,2020-06-29,59,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4,239.0
Thank You - (Acoustic) [Live],Dido,70,2013-04-03,59,0.539,0.407,8,-8.604,0,0.04,0.587,0.0,0.0776,0.614,79.548,4,155.0
Bad Habit,Steve Lacy,81,2022-06-29,86,0.686,0.507,1,-7.097,1,0.0357,0.626,7.51e-05,0.383,0.69,168.955,4,232.0
Distant Dreamer,Duffy,58,2008-01-01,50,0.399,0.604,2,-4.325,1,0.0288,0.00426,0.00126,0.386,0.146,94.962,4,306.0
Lay All Your Love On Me,ABBA,80,1980-01-01,79,0.678,0.727,2,-7.844,0,0.0258,0.117,0.00396,0.354,0.71,133.481,4,274.0
Calm Down,Rema,80,2022-10-02,84,0.811,0.781,11,-6.333,1,0.0428,0.376,0.001,0.121,0.824,107.007,4,220.0
snowfall (Slowed + Reverb),Øneheart,74,2022-01-04,77,0.397,0.0521,9,-29.745,1,0.0313,0.932,0.874,0.229,0.101,77.982,4,151.0
Montagem Orquestra Sinfonica (Speed Up),DJ TENEBROSO ORIGINAL,57,2022-12-12,65,0.589,0.952,8,-1.836,0,0.231,0.377,0.2,0.227,0.333,112.383,4,214.0
Mary On A Cross,Ghost,75,2019-09-13,84,0.466,0.9,11,-4.469,1,0.0447,0.000235,0.00104,0.103,0.561,130.02,4,245.0
My Beloved Monster,Eels,55,1996-01-01,56,0.479,0.285,9,-12.805,1,0.0314,0.261,0.431,0.651,0.462,97.661,4,132.0
Baarishein,Anuv Jain,66,2018-12-01,81,0.475,0.124,2,-9.463,1,0.0444,0.926,0.0,0.0972,0.19,94.42,4,207.0
Bubble Gum,Clairo,76,2019-02-22,80,0.509,0.0167,9,-24.639,1,0.115,0.979,2.72e-05,0.387,0.229,207.97,3,176.0
Sour Diesel,ZAYN,75,2018-12-14,53,0.664,0.808,4,-4.31,0,0.0397,0.00285,0.00869,0.096,0.593,94.979,4,244.0
Peter Pan (feat. Liilz),Prinz,60,2022-09-09,69,0.816,0.487,4,-8.059,0,0.314,0.168,0.0,0.176,0.479,141.015,4,140.0
METAMORPHOSIS,INTERWORLD,74,2021-11-25,90,0.593,0.641,7,-12.727,0,0.0992,0.426,0.901,0.122,0.147,175.014,4,143.0
Somewhere Only We Know,Keane,73,2004-01-01,79,0.453,0.655,9,-4.22,1,0.0259,0.0794,7.61e-06,0.0849,0.368,172.012,4,236.0
Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",62,1985-01-01,78,0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,4,438.0
renegade x under the influence x i was never there - Speed Up Remix,AA Records,38,2023-01-26,46,0.283,0.538,11,-13.333,0,0.0797,0.253,0.252,0.538,0.196,119.774,4,456.0
Who Is She x The Perfect Girl - Remix,Xanemusic,67,2022-11-25,50,0.477,0.866,8,-5.393,0,0.0793,0.00241,0.497,0.343,0.215,122.496,4,209.0
I Was Never There,The Weeknd,95,2018-03-30,90,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26,4,241.0
WASTE,Kxllswxtch,69,2021-10-29,83,0.627,0.123,7,-14.411,1,0.0316,0.859,0.00105,0.149,0.11,131.883,4,120.0
Reminder,The Weeknd,95,2016-11-25,90,0.706,0.505,8,-6.923,1,0.193,0.142,0.0,0.164,0.388,160.053,4,219.0
The Less I Know The Better,Tame Impala,80,2015-07-17,88,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,4,216.0
Heartless,The Weeknd,95,2020-03-20,87,0.537,0.746,10,-5.507,0,0.15,0.0236,1.01e-06,0.156,0.252,170.062,4,198.0
Disaster,KSLV Noh,66,2021-06-21,44,0.824,0.613,0,-6.043,1,0.094,0.0158,0.348,0.159,0.511,117.051,4,84.0
Call Me - Slowed,plenka,59,2021-06-10,22,0.734,0.83,9,-6.478,0,0.0348,0.002,0.831,0.135,0.338,110.75,4,160.0
No Surprises,Radiohead,80,1997-05-28,85,0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,4,229.0
The Beach (Instrumental),mxpheebz,52,2022-09-15,68,0.672,0.215,2,-17.352,0,0.0353,0.834,0.921,0.0915,0.137,136.001,4,230.0
Freaks,Surf Curse,68,2021-05-15,87,0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,4,147.0
Gaichite,Misha Xramovi,52,2020-01-05,72,0.894,0.487,7,-8.106,1,0.129,0.354,0.0158,0.109,0.229,82.003,4,164.0
