Track Name,Artist Name,Artist Popularity,Album Release Date,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Track Duration (s)
Chop Suey!,System Of A Down,79,2001-04-09,87,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,4,210.0
"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Eric Clapton,71,1992-08-25,7,0.695,0.336,9,-12.999,1,0.0313,0.8,0.00264,0.701,0.422,79.109,4,280.0
Highway to Hell,AC/DC,81,1979-07-27,88,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,4,208.0
Smells Like Teen Spirit - Remastered,Nirvana,81,1991-09-24,59,0.489,0.918,1,-4.502,1,0.0554,3.53e-05,7.64e-05,0.0908,0.691,116.731,4,301.0
Faint,Linkin Park,85,2003-03-24,82,0.554,0.978,4,-3.554,1,0.131,0.111,0.0,0.0731,0.594,135.095,4,163.0
It's My Life,Bon Jovi,77,2000-01-01,83,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,4,224.0
MONTERO (Call Me By Your Name),Lil Nas X,78,2021-09-17,83,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,4,138.0
Young Dumb & Broke,Khalid,84,2017-04-27,83,0.799,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.948,4,203.0
Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,75,2018-12-14,82,0.259,0.437,11,-6.589,0,0.0386,0.102,1.32e-06,0.106,0.0951,180.042,4,239.0
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,68,2011-11-11,84,0.646,0.795,9,-3.293,1,0.0976,0.0319,0.0,0.267,0.796,89.99,4,211.0
STAY (with Justin Bieber),The Kid LAROI,79,2021-07-23,35,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,4,142.0
Locked Away (feat. Adam Levine),R. City,62,2015-09-10,82,0.509,0.671,1,-5.709,1,0.0678,0.304,0.0,0.0452,0.55,118.413,5,227.0
Wolves,Selena Gomez,84,2017-10-25,82,0.724,0.804,11,-4.614,0,0.0448,0.124,0.0,0.204,0.306,124.987,4,198.0
Play Date,Melanie Martinez,82,2015-08-14,81,0.68,0.729,5,-5.077,1,0.0475,0.612,0.0,0.224,0.446,123.97,4,180.0
Starboy,The Weeknd,95,2016-11-25,94,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,4,230.0
They Don't Care About Us,Michael Jackson,82,1995-06-16,76,0.859,0.905,0,-5.539,0,0.129,0.205,0.00837,0.322,0.731,89.946,4,284.0
Counting Stars,OneRepublic,83,2013-01-01,88,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.118,0.477,122.016,4,257.0
Blinding Lights,The Weeknd,95,2020-03-20,93,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4,200.0
Wake Me Up,Avicii,81,2013-01-01,89,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4,247.0
Cheap Thrills,Sia,83,2016-01-29,82,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,4,212.0
Life Goes On,Oliver Tree,75,2021-05-28,78,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,4,162.0
Titanium (feat. Sia),David Guetta,88,2011-08-24,73,0.604,0.788,0,-3.673,0,0.103,0.0678,0.153,0.127,0.301,126.06,4,245.0
It Ain't Me (with Selena Gomez),Kygo,79,2017-02-16,80,0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968,4,221.0
Something Just Like This,The Chainsmokers,80,2017-07-04,88,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,4,247.0
In Your Eyes,The Weeknd,95,2020-03-20,81,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021,4,238.0
GhorGari,HIGHWAY,36,2018-02-03,48,0.216,0.411,2,-10.736,1,0.043,0.117,0.00117,0.0628,0.0536,160.001,4,382.0
Na Pawar Golpo,Encore,34,2016-04-20,42,0.608,0.509,1,-6.442,0,0.0236,0.37,1.17e-05,0.136,0.157,100.022,4,302.0
Amar Jaan,Dameer,28,2021-02-26,37,0.399,0.634,4,-6.697,1,0.0494,0.421,5.37e-06,0.259,0.387,180.039,3,145.0
Bedona,Shunno,37,2008-04-15,44,0.635,0.73,11,-5.982,1,0.0379,0.0441,5.48e-06,0.0653,0.816,119.921,4,250.0
Ami Akash Pathabo,AvoidRafa,35,2016-01-05,50,0.618,0.616,6,-9.26,1,0.037,0.286,2.77e-05,0.13,0.451,130.128,4,244.0
Joto Dure (Chup Chap Chari Dik),Warfaze,36,2012-04-26,32,0.364,0.726,7,-6.953,1,0.0347,0.00491,0.000697,0.319,0.346,134.945,4,359.0
Eka Beche Thakte Shekho Priyo,Aseer Arman,20,2020-01-07,38,0.338,0.224,3,-11.187,1,0.0334,0.878,0.0,0.11,0.386,72.522,4,394.0
Can I Call You Tonight?,Dayglow,66,2019-11-14,10,0.641,0.842,9,-7.27,1,0.0292,0.132,0.91,0.419,0.5,129.98,4,279.0
Crush,Cigarettes After Sex,80,2018-10-07,66,0.401,0.505,5,-8.574,1,0.0252,0.0869,0.779,0.11,0.287,97.796,4,267.0
Aabaad Barbaad,Pritam,87,2020-11-13,71,0.626,0.522,7,-5.857,1,0.0317,0.686,0.0,0.41,0.628,118.001,4,309.0
Tomar Jonno,Arnob,43,2017-01-02,47,0.655,0.563,6,-5.647,0,0.0445,0.297,0.000415,0.105,0.619,82.056,4,276.0
D r i v e F o r e v e r,Nightshift TV,35,2021-05-22,0,0.763,0.454,8,-11.402,1,0.0632,0.217,0.869,0.128,0.337,91.698,4,546.0
"The Ecstasy of Gold (From ""The Good, The Bad and the Ugly"") - Live",Ennio Morricone,65,2018-11-23,38,0.267,0.318,9,-13.839,0,0.0382,0.7,0.904,0.162,0.117,117.12,4,358.0
Ankahee,Amitabh Bhattacharya,81,2013-05-29,47,0.48,0.379,9,-10.934,1,0.0277,0.744,0.000125,0.079,0.303,94.891,4,275.0
Shikayatein,Mohan Kannan,50,2013-05-29,44,0.237,0.423,7,-8.874,1,0.0304,0.329,0.00022,0.148,0.154,78.05,4,270.0
Zinda,Amit Trivedi,69,2013-05-29,60,0.493,0.418,9,-9.693,1,0.0261,0.436,0.102,0.104,0.22,89.982,4,242.0
Somebody That I Used To Know,Gotye,67,2011-01-01,82,0.865,0.521,0,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059,4,245.0
Snow (Hey Oh),Red Hot Chili Peppers,82,2006-09-05,82,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655,4,335.0
Heavenly,Cigarettes After Sex,80,2019-10-25,72,0.539,0.431,8,-9.298,1,0.0249,0.628,0.653,0.11,0.122,105.156,4,289.0
"Channa Mereya (From ""Ae Dil Hai Mushkil"")",Pritam,87,2016-10-26,75,0.476,0.788,9,-4.821,0,0.0446,0.237,2.49e-05,0.106,0.746,90.066,4,289.0
Dil Kyun Yeh Mera,KK,76,2010-03-29,65,0.486,0.382,6,-6.183,1,0.0286,0.613,8.56e-05,0.149,0.164,125.918,3,333.0
Tu Jaane Na,Atif Aslam,76,2009-06-11,71,0.702,0.86,7,-3.969,1,0.0345,0.361,1.33e-06,0.133,0.829,120.042,4,342.0
Tere Bin Nahi Laage (Male Version),Uzair Jaswal,42,2015-10-03,63,0.294,0.577,6,-5.952,1,0.0298,0.623,0.0,0.16,0.429,83.171,4,222.0
